filips,21,michiru-guru,10
michiru-guru,21,filips,17
michiru-guru,21,filips,11
filips,21,michiru-guru,17
filips,21,lecharles,10
cstaikos,21,filips,17
mchepesiuk,21,cstaikos,13
mchepesiuk,21,michiru-guru,17
mchepesiuk,21,michiru-guru,14
michiru-guru,21,mchepesiuk,11
michiru-guru,21,mchepesiuk,16
mchepesiuk,21,michiru-guru,17
michiru-guru,21,cstaikos,12
michiru-guru,21,cstaikos,14
michiru-guru,21,cstaikos,11
michiru-guru,21,cstaikos,12
michiru-guru,21,cstaikos,19
filips,21,lecharles,17
filips,21,michiru-guru,7
filips,21,michiru-guru,17
filips,21,ilia,10
michiru-guru,21,cstaikos,15
michiru-guru,21,filips,19
michiru-guru,21,mchepesiuk,10
michiru-guru,21,mchepesiuk,8
filips,21,cstaikos,19
cstaikos,21,sophiahe,10
filips,21,cstaikos,12
filips,21,cstaikos,17
filips,21,cstaikos,17
filips,22,cstaikos,20
filips,21,meds86,9
filips,21,meds86,16
michiru-guru,23,cstaikos,21
michiru-guru,22,cstaikos,20
michiru-guru,21,cstaikos,14
mchepesiuk,21,lecharles,16
mchepesiuk,21,filips,15
mchepesiuk,21,cstaikos,16
filips,22,cstaikos,20
filips,21,cstaikos,17
cstaikos,21,michiru-guru,18
michiru-guru,21,cstaikos,14
cstaikos,21,lecharles,17
cstaikos,24,michiru-guru,22
cstaikos,21,matthewalexander,9
lecharles,21,mchepesiuk,17
ilia,21,vastopa,14
filips,21,cstaikos,17
michiru-guru,21,filips,15
cstaikos,22,michiru-guru,20
cstaikos,21,ilia,13
nick-budhwani,21,jalorda,19
lecharles,21,mikebowman,8
filips,21,cstaikos,19
cstaikos,21,filips,17
mchepesiuk,21,cstaikos,9
mchepesiuk,21,cstaikos,9
adrian,21,adrien,12
mchepesiuk,21,erikdohnberg,13
adrian,21,mchepesiuk,17
erikdohnberg,21,adrien,19
adrian,21,erikdohnberg,13
mchepesiuk,22,adrien,20
michiru-guru,21,filips,12
michiru-guru,21,cstaikos,17
michiru-guru,21,cstaikos,15
michiru-guru,21,filips,12